"Site Folder","Site Name"
blue_prd,blueprint-global.com
caravan_prd,weight.caravanwg.com.au
cheesedj_prd,cheesedj.com.au
dogdays_prd,dogdayz.com.au
iltempo_prd,iltempodegraves.com.au
kingswim_prd,kingswim.com.au
lynx_dev,lynx.dev.com.au
lynx_test,lynx.dev.com
noisyb_prd,noisybeast.com
php_opt,phpmyadmin.opt7.saltandfuessel.com.au
rpt_prd,rosemethod.com
sfcomp_dev,sfcompopt.saltandfuessel.com.au
susp_prd,4x4suspensionkits.com.au
testmt_prd,testmate.com.au
